,wkt_point,saved
0,POINT (4.892457114750982 52.37307538438666),2241
1,POINT (4.891250915015121 52.366920982263935),637
2,POINT (4.881368315826123 52.35793447899974),539
3,POINT (4.884159154326909 52.37515816454306),528
4,POINT (4.898073113695332 52.37436071525124),449
5,POINT (4.885049647726476 52.359815792931464),416
6,POINT (4.884159154326909 52.37515816454307),409
7,POINT (4.89822734071484 52.37388256626557),385
8,POINT (4.8913354045997295 52.37314486392631),360
9,POINT (4.8810679084142095 52.35837021055505),350
10,POINT (4.86858222535686 52.357915640884464),336
11,POINT (4.8850496477264755 52.359815792931464),319
12,POINT (4.8913354045997295 52.373144863926306),312
13,POINT (4.746819322905092 52.32579562929211),311
14,POINT (4.900579638038437 52.37890123511402),287
15,POINT (4.91211045467935 52.3738530911587),277
16,POINT (4.890033192113293 52.36945944273908),273
17,POINT (4.900609142337814 52.37833799367984),265
18,POINT (4.902103132770236 52.38385875966269),259
19,POINT (4.884963817037374 52.37095133435011),255
20,POINT (4.868232197077816 52.36687348709717),253
21,POINT (4.891784674613064 52.357840288343134),249
22,POINT (4.89822734071484 52.373882566265564),243
23,POINT (4.900609142337814 52.37833799367985),222
24,POINT (4.891693479505875 52.37392350388135),213
25,POINT (4.881962425127341 52.35871666321799),199
26,POINT (4.892557150815108 52.37325212219065),199
27,POINT (4.886184222148231 52.37907560927604),196
28,POINT (4.879835433362686 52.35790826944588),194
29,POINT (4.86858222535686 52.35791564088447),176
30,POINT (4.8810679084142095 52.358370210555044),167
31,POINT (4.881096071609079 52.37541524471572),167
32,POINT (4.899209029221595 52.373913678857015),164
33,POINT (4.907774663774475 52.36664092381924),164
34,POINT (4.895875043391243 52.36476235724569),158
35,POINT (4.8917846746130635 52.357840288343134),154
36,POINT (4.891535229172831 52.35519959205202),153
37,POINT (4.8989756770355655 52.37364676485989),141
38,POINT (4.914722032209643 52.37185037532409),140
39,POINT (4.894362277495588 52.35573036501899),137
40,POINT (4.898385591047884 52.356827930872406),135
41,POINT (4.885191804805345 52.36001399374077),127
42,POINT (4.893794990284704 52.37293198415684),126
43,POINT (4.8936997718639645 52.37282145002569),123
44,POINT (4.901236779251974 52.369366095485766),122
45,POINT (4.887340254242275 52.36083135793332),121
46,POINT (4.901236779251974 52.36936609548576),115
47,POINT (4.8839190966182855 52.3745621257744),113
48,POINT (4.901193863907423 52.36862258575856),112
49,POINT (4.8936997718639645 52.37282145002568),106
50,POINT (4.902363307046613 52.36357981840048),105
51,POINT (4.880803710824267 52.37296555372708),105
52,POINT (4.8839190966182855 52.37456212577441),105
53,POINT (4.893222338655747 52.36706019194133),104
54,POINT (4.838105625198068 52.38903180468537),102
55,POINT (4.901193863907423 52.368622585758544),100
56,POINT (4.88666970198355 52.37930892573972),99
57,POINT (4.8930579930452645 52.37301031229317),96
58,POINT (4.90031544044848 52.37277396120291),94
59,POINT (4.897398538123071 52.37382197852457),91
60,POINT (4.926151818976933 52.366798149831325),90
61,POINT (4.892452544662746 52.373080181335624),88
62,POINT (4.893794990284704 52.37293198415683),86
63,POINT (4.758217901971079 52.30841751542899),86
64,POINT (4.926344938027455 52.36666057710136),85
65,POINT (4.881585437275133 52.36163650417134),85
66,POINT (4.884041137129373 52.36881092090379),84
67,POINT (4.897275156507448 52.376581092703766),83
68,POINT (4.900896138704553 52.36633465904324),83
69,POINT (4.8816164201618335 52.36373869318836),80
70,POINT (4.892559833024137 52.372600380933484),80
71,POINT (4.902363307046613 52.363579818400474),80
72,POINT (4.894316679941994 52.36935135642773),80
73,POINT (4.901148266353829 52.376433725977655),80
74,POINT (4.762180334047827 52.309522706904),79
75,POINT (4.894654638280372 52.37457031317461),79
76,POINT (4.900941736258133 52.38438755125621),78
77,POINT (4.940970129824952 52.31423768791869),78
78,POINT (4.838878101400127 52.38901543524583),78
79,POINT (4.890237039999931 52.3736557711867),75
80,POINT (4.892559833024137 52.37260038093349),75
81,POINT (4.881510472904964 52.35737588451852),75
82,POINT (4.892452544662746 52.37308018133563),74
83,POINT (4.886264688419288 52.37758808550409),74
84,POINT (4.902328438329164 52.38420091965231),74
85,POINT (4.891634470907121 52.36791836897059),72
86,POINT (4.896867460734143 52.37551840385471),71
87,POINT (4.90095782951235 52.37743089789649),71
88,POINT (4.912569112424336 52.36691279344571),70
89,POINT (4.878674036850583 52.374547388450196),67
90,POINT (4.896127171040519 52.37576565731802),67
91,POINT (4.888399726811059 52.3688420370679),66
92,POINT (4.8973985381230705 52.37382197852455),66
93,POINT (4.894654638280372 52.374570313174615),65
94,POINT (4.872142857850662 52.38610648945736),65
95,POINT (5.07114935719333 52.33436444911638),64
96,POINT (4.8972751565074475 52.37658109270378),64
97,POINT (4.902387446927918 52.3653667173698),64
98,POINT (4.899788386373132 52.37604729533812),63
99,POINT (4.8816164201618335 52.36373869318837),63
