,wkt_point,saved
0,POINT (2.17741753785819 41.38288257548497),3074
1,POINT (2.174368963944673 41.403465227823816),1970
2,POINT (2.164730892812694 41.3915523228693),1594
3,POINT (2.1618779164692654 41.39540023707817),1421
4,POINT (2.151509837444948 41.41422168548238),1027
5,POINT (2.1715781254438866 41.38173565585454),859
6,POINT (2.1763470931078928 41.38392725322342),806
7,POINT (2.18637855489834 41.38825991844228),605
8,POINT (2.181272970000464 41.38515785609473),584
9,POINT (2.140004501789832 41.37900762775308),506
10,POINT (2.176911698109734 41.38339495743976),471
11,POINT (2.177772687209938 41.37580046350525),462
12,POINT (2.150626049567961 41.40349842329755),452
13,POINT (2.1751441223557606 41.38759886858647),435
14,POINT (2.1229161480286507 41.38091252995799),371
15,POINT (2.152559922282109 41.41392900948545),360
16,POINT (2.176911698109734 41.38339495743974),356
17,POINT (2.16993929572358 41.38687241030856),344
18,POINT (2.180643991981768 41.39104188869151),328
19,POINT (2.1827615960148137 41.394595393262485),327
20,POINT (2.16993929572358 41.386872410308555),309
21,POINT (2.17517183851578 41.3800206307653),305
22,POINT (2.193192706951445 41.37956578765599),288
23,POINT (2.1742509467471507 41.40311617136118),276
24,POINT (2.1806439919817677 41.39104188869151),274
25,POINT (2.1525599222821086 41.41392900948544),250
26,POINT (2.1491320591355247 41.37502858706271),248
27,POINT (2.151733801899354 41.37114591971189),230
28,POINT (2.174371646153702 41.403476292983605),219
29,POINT (2.182002530857943 41.383803487295765),215
30,POINT (2.165930734320966 41.36349060953454),213
31,POINT (2.1534785788765447 41.36838825991147),208
32,POINT (2.151737825212905 41.371157996797),205
33,POINT (2.174233512388412 41.37881240482941),201
34,POINT (2.165930734320966 41.363490609534544),196
35,POINT (2.184302525105352 41.3768460546649),195
36,POINT (2.182002530857943 41.38380348729576),191
37,POINT (2.1534785788765447 41.36838825991146),180
38,POINT (2.1736224157633046 41.3807189898786),179
39,POINT (2.174326048600136 41.41304594470568),178
40,POINT (2.18090818957171 41.39211439949554),175
41,POINT (2.174233512388412 41.378812404829404),170
42,POINT (2.1524043541580795 41.37015559110355),163
43,POINT (2.15566994365804 41.36476487957548),159
44,POINT (2.14872436336222 41.36890759455939),156
45,POINT (2.174220101343252 41.41397728602936),151
46,POINT (2.152173684181065 41.41282266218798),128
47,POINT (2.1815626485762323 41.384727198049646),125
48,POINT (2.171587513175524 41.38167024892106),124
49,POINT (2.1700827939069427 41.3865464070024),124
50,POINT (2.174371646153702 41.40347629298362),117
51,POINT (2.1739170117222955 41.38204256443306),113
52,POINT (2.1648104650140567 41.39133030797041),112
53,POINT (2.159343228931306 41.36534664701589),110
54,POINT (2.1700827939069427 41.38654640700239),109
55,POINT (2.1648104650140567 41.3913303079704),104
56,POINT (2.1744816167241368 41.384493756048045),103
57,POINT (2.1593432289313057 41.3653466470159),102
58,POINT (2.20702932929269 41.394009192410984),98
59,POINT (2.183700369177018 41.38367267752268),97
60,POINT (2.1719925267397855 41.402898890310816),94
61,POINT (2.1455942254185203 41.43997804112286),93
62,POINT (2.131316826725879 41.41266576050017),90
63,POINT (2.1189142921486166 41.422366802093855),89
64,POINT (2.153066859789704 41.413373826651494),87
65,POINT (2.178517000217113 41.38614594391386),87
66,POINT (2.115412668253569 41.41832102236233),85
67,POINT (2.175574616905863 41.4044641023841),85
68,POINT (2.178517000217113 41.386145943913846),84
69,POINT (2.149305061618279 41.37630263113588),83
70,POINT (2.174395786035035 41.40356280234979),82
71,POINT (2.1684359175595347 41.39067063082909),81
72,POINT (2.154748604854547 41.415133900833695),81
73,POINT (2.166504727054417 41.38854264852035),80
74,POINT (2.171587513175524 41.38167024892107),80
75,POINT (2.181675301355682 41.38450784308914),79
76,POINT (2.175320919902296 41.380050456746446),79
77,POINT (2.1618821813919737 41.39531049346252),78
78,POINT (2.1865354641268766 41.39012631668845),76
79,POINT (2.1189142921486166 41.42236680209386),76
80,POINT (2.1598488253343646 41.36865094714104),74
81,POINT (2.118752018502008 41.42208824169583),73
82,POINT (2.1700506073985366 41.38699113950167),72
83,POINT (2.1714829070231474 41.38756063414263),71
84,POINT (2.1665047270544164 41.38854264852035),71
85,POINT (2.1724324090214964 41.370990930254024),71
86,POINT (2.168368862333665 41.37951681468314),68
87,POINT (2.189193533280445 41.37929744214673),66
88,POINT (2.1634684664269344 41.36874052223736),66
89,POINT (2.180752621447681 41.391257197157984),65
90,POINT (2.1748115284354417 41.38517395540561),65
91,POINT (2.15804503975842 41.36227167542563),65
92,POINT (2.1493050616182785 41.37630263113588),65
93,POINT (2.183944450199192 41.37446099541215),64
94,POINT (2.18615459044392 41.40100167397704),64
95,POINT (2.176442311528646 41.383276221680006),63
96,POINT (2.173204885223555 41.385334948295025),62
97,POINT (2.1488316517236115 41.37474479185652),62
98,POINT (2.1662499171960974 41.39320097776287),62
99,POINT (2.1751146180563694 41.40397925280325),62
