,wkt_point,saved
0,POINT (13.388880895242808 52.517047989179446),988
1,POINT (13.388880895242806 52.517047989179446),972
2,POINT (13.40102712363769 52.51908641857943),946
3,POINT (13.3777026338704 52.51627500804057),568
4,POINT (13.435862313478168 52.50746747763144),510
5,POINT (13.377702633870399 52.51627500804057),501
6,POINT (13.39655990449011 52.5210160818876),443
7,POINT (13.3789619310123 52.514129401292536),441
8,POINT (13.36933280057707 52.52519500574696),412
9,POINT (13.390374730455676 52.50750829131379),389
10,POINT (13.376101355076585 52.51859596484766),371
11,POINT (13.378961931012299 52.514129401292536),368
12,POINT (13.376101355076583 52.518595964847655),339
13,POINT (13.402274350838908 52.54376850766261),329
14,POINT (13.390374730455676 52.50750829131378),321
15,POINT (13.4135007367544 52.52221181041395),287
16,POINT (13.40942243791686 52.52082050808765),254
17,POINT (13.295226941222154 52.52053136191764),244
18,POINT (13.381689737600766 52.51053819324511),219
19,POINT (13.39627022591435 52.502007897900455),211
20,POINT (13.504194438957512 52.6193259280613),201
21,POINT (13.408554743294076 52.51827443314051),199
22,POINT (13.340952346779048 52.50158991170049),178
23,POINT (13.402267645316329 52.519368773818535),176
24,POINT (13.39205915772959 52.51386170317945),170
25,POINT (13.3895834787904 52.53421842776559),163
26,POINT (13.369662712288374 52.52494532594141),161
27,POINT (13.390691231121792 52.50801764288178),160
28,POINT (13.39205915772959 52.51386170317944),156
29,POINT (13.338618824918711 52.50811396190564),153
30,POINT (13.43149433606486 52.50216872356319),152
31,POINT (13.39502299871313 52.52165529477104),152
32,POINT (13.376295815231629 52.51633295184405),151
33,POINT (13.398787479093585 52.51945282719528),150
34,POINT (13.443034540437424 52.511166675838744),149
35,POINT (13.23991085022621 52.51457420095363),147
36,POINT (13.388022433132107 52.49397892898487),147
37,POINT (13.350110749528625 52.51451135797189),138
38,POINT (13.44595278386737 52.50277528409348),137
39,POINT (13.379114816927284 52.53049016802387),130
40,POINT (13.395677457717625 52.52107755553083),130
41,POINT (13.35011209063316 52.514508093398945),129
42,POINT (13.37182993718855 52.51676875208645),129
43,POINT (13.409421096812352 52.52082050808765),127
44,POINT (13.395677457717625 52.521077555530816),122
45,POINT (13.379294524932618 52.50901184095605),122
46,POINT (13.350110749528625 52.514511357971884),119
47,POINT (13.383878420173204 52.506336107270386),119
48,POINT (13.37610537839015 52.51859351664557),118
49,POINT (13.3874457581896 52.53379422160975),118
50,POINT (13.279730925557999 52.50744788705044),117
51,POINT (13.393822710170028 52.51652881765632),115
52,POINT (13.416915188855796 52.511207486086015),114
53,POINT (13.401412020634211 52.52659514463564),113
54,POINT (13.40751270508403 52.51681526983453),113
55,POINT (13.43758697388759 52.50615815459202),113
56,POINT (13.383878420173204 52.5063361072704),113
57,POINT (13.394841949603276 52.51575840709118),111
58,POINT (13.397031973280264 52.51769909769081),110
59,POINT (13.426109801427344 52.5117070004418),109
60,POINT (13.398316751407947 52.52083356450198),105
61,POINT (13.431494336064858 52.50216872356319),104
62,POINT (13.334616969038677 52.50490675141995),103
63,POINT (13.397740076465453 52.520184003183864),103
64,POINT (13.4917997829005 52.49346288246795),101
65,POINT (13.397740076465452 52.520184003183864),100
66,POINT (13.406843493929827 52.51959563596183),100
67,POINT (13.459940503984257 52.51094956468618),99
68,POINT (13.279730925558 52.50744788705044),99
69,POINT (13.411912869005732 52.497644971198945),98
70,POINT (13.401613186311808 52.524535717434766),97
71,POINT (13.496910732216463 52.36651153949375),96
72,POINT (13.487323176021306 52.51451788711703),95
73,POINT (13.377706657183978 52.51627419193012),95
74,POINT (13.445276867190586 52.502816102132776),94
75,POINT (13.37610537839015 52.51859351664558),92
76,POINT (13.391864697574562 52.514368532679136),91
77,POINT (13.496910732216463 52.366511539493736),90
78,POINT (13.335032711439084 52.504705119526704),90
79,POINT (13.39822689740528 52.50390184806586),90
80,POINT (13.401226948210791 52.517031535911336),87
81,POINT (13.43133206241825 52.48207075662496),83
82,POINT (13.398316751407949 52.52083356450198),82
83,POINT (13.504194438957512 52.619325928061286),80
84,POINT (13.352881024426827 52.51705493066842),80
85,POINT (13.356651316260184 52.498667162772136),79
86,POINT (13.413192282715386 52.52164387062239),79
87,POINT (13.401226948210793 52.51703153591134),77
88,POINT (13.303451041157928 52.62795296061555),77
89,POINT (13.40328956695862 52.47445476147396),76
90,POINT (13.39067513786759 52.50718667846947),76
91,POINT (13.453508566718625 52.507496863486544),76
92,POINT (13.40328956695862 52.47445476147395),76
93,POINT (13.401613186311806 52.52453571743477),74
94,POINT (13.384015212833987 52.50630019027408),73
95,POINT (13.381523440640592 52.487738605971096),73
96,POINT (13.409598122608656 52.54020745496532),73
97,POINT (13.439917813538898 52.504950016442535),72
98,POINT (13.43133206241825 52.48207075662495),72
99,POINT (13.373082528807828 52.510053357674686),72
