,wkt_point,saved
0,POINT (12.48293787037585 41.89332099388637),3307
1,POINT (12.483279798055293 41.90096469820571),3205
2,POINT (12.492639366482488 41.89036576120198),1855
3,POINT (12.476833108639966 41.89862590910011),1794
4,POINT (12.492639366482488 41.89036576120196),1246
5,POINT (12.476833108639966 41.89862590910012),1166
6,POINT (12.482851985714234 41.90603527411186),957
7,POINT (12.466330919163896 41.90307582351736),753
8,POINT (12.452854210478565 41.90341504706339),721
9,POINT (12.452854210478563 41.90341504706339),668
10,POINT (12.261395396749643 41.811267488839576),643
11,POINT (12.473059240527904 41.89898426945378),630
12,POINT (12.453446928064864 41.902154523040736),629
13,POINT (12.490666601737331 41.8897620892844),585
14,POINT (12.473059240527903 41.89898426945379),576
15,POINT (12.466330919163894 41.90307582351736),574
16,POINT (12.502525988985042 41.90058139420845),506
17,POINT (12.453712466759328 41.90216151020165),484
18,POINT (12.49845841898366 41.89760671726889),473
19,POINT (12.486845794967168 41.89169288756558),467
20,POINT (12.454404476690328 41.902933087694024),454
21,POINT (12.481543067705218 41.8882565452702),449
22,POINT (12.482932451985278 41.89332014379423),414
23,POINT (12.473179939934454 41.89780016751134),411
24,POINT (12.482507321853234 41.90948163844462),411
25,POINT (12.457370999882896 41.90221441296649),402
26,POINT (12.482851985714234 41.906035274111844),396
27,POINT (12.476336899968516 41.91071022783194),387
28,POINT (12.49845841898366 41.89760671726888),373
29,POINT (12.483184579634552 41.89470577469952),367
30,POINT (12.482328954952436 41.905749815378),364
31,POINT (12.464741710310731 41.88935875073366),349
32,POINT (12.483283821368843 41.901042556549),345
33,POINT (12.453712466759328 41.902161510201644),344
34,POINT (12.483045104764727 41.89322630315039),343
35,POINT (12.477248851040372 41.90105653111339),336
36,POINT (12.457370999882897 41.90221441296649),332
37,POINT (12.469304147879058 41.88981799739739),331
38,POINT (12.471522334750915 41.89800601081555),331
39,POINT (12.486845794967167 41.891692887565576),326
40,POINT (12.473059240527904 41.89898426945379),324
41,POINT (12.472190204800595 41.89553035058185),316
42,POINT (12.501722667379113 41.9011773111496),310
43,POINT (12.454503718424604 41.90555817802949),304
44,POINT (12.47990692019394 41.88542506797652),299
45,POINT (12.482371870296989 41.89606342423943),288
46,POINT (12.483184579634553 41.89470577469952),287
47,POINT (12.492338959070594 41.879046795551616),286
48,POINT (12.483970466881772 41.91426911122822),282
49,POINT (12.454404476690328 41.90293308769404),281
50,POINT (12.479783538578332 41.89880259398264),267
51,POINT (12.49203050503158 41.91406153177972),266
52,POINT (12.476315442296226 41.91079206641496),257
53,POINT (12.485704515022816 41.88600215639378),243
54,POINT (12.471702042756249 41.89610535119227),241
55,POINT (12.469490561406985 41.88942663957886),233
56,POINT (12.476487103674458 41.89992857429183),229
57,POINT (12.49149942764268 41.89143731472247),225
58,POINT (12.479988727569506 41.90084791051275),222
59,POINT (12.485704515022817 41.88600215639378),216
60,POINT (12.478365991103388 41.89799103735259),210
61,POINT (12.487108651452589 41.8893068356857),206
62,POINT (12.469490561406984 41.88942663957886),203
63,POINT (12.472190204800597 41.89553035058184),202
64,POINT (12.505586389493844 41.88576153711639),196
65,POINT (12.45283538440492 41.90349205133416),194
66,POINT (12.483200672888756 41.90615504662705),193
67,POINT (12.482328954952436 41.90574981537801),192
68,POINT (12.505586389493843 41.885761537116394),191
69,POINT (12.481060270078927 41.90645248073463),186
70,POINT (12.476315442296226 41.910792066414956),186
71,POINT (12.486837748340063 41.89169488422441),185
72,POINT (12.464741710310733 41.88935875073367),183
73,POINT (12.480456773046086 41.90174128102201),176
74,POINT (12.492030505031579 41.91406153177972),171
75,POINT (12.48288417222264 41.90604924758353),165
76,POINT (12.475856784551269 41.88756066844082),160
77,POINT (12.454501930285252 41.90482289744847),160
78,POINT (12.483711633709916 41.906278811323375),159
79,POINT (12.47967625021694 41.89195145436236),159
80,POINT (12.48858520752627 41.89067158840312),156
81,POINT (12.486942354492411 41.88955642687624),151
82,POINT (12.486942354492413 41.889556426876226),149
83,POINT (12.479783538578332 41.898802593982644),149
84,POINT (12.458076420859072 41.90465987029041),148
85,POINT (12.483155075335162 41.89355674140118),148
86,POINT (12.481722775710551 41.88813074887238),146
87,POINT (12.482673618813408 41.9082739848896),146
88,POINT (12.48310411336351 41.89453806304775),145
89,POINT (12.479806337355116 41.89592067274111),141
90,POINT (12.452851477659124 41.90341020339265),139
91,POINT (12.487108651452587 41.8893068356857),139
92,POINT (12.482371870296987 41.89606342423943),137
93,POINT (12.470446768927928 41.898249578653086),136
94,POINT (12.483594957616887 41.89293379898239),135
95,POINT (12.47780675051962 41.888086819913205),135
96,POINT (12.49435061584674 41.89101202327162),134
97,POINT (12.483651284006612 41.89326623535612),134
98,POINT (12.470736447503697 41.88908719463136),133
99,POINT (12.488586548630792 41.9047896266337),132
