,wkt_point,saved
0,POINT (28.9662085731278 41.00920005195289),3957
1,POINT (28.979997254759056 41.00850909991443),3810
2,POINT (28.97421307097534 41.02563419456991),3161
3,POINT (28.967765040455504 41.01085288207102),1662
4,POINT (28.97665254009256 41.005417325378424),1482
5,POINT (28.97789574398024 41.00812655760685),1370
6,POINT (28.9768925978012 41.00525235919088),1342
7,POINT (28.9856151415826 41.03786815893058),1297
8,POINT (28.96383158090586 41.01623739563796),1118
9,POINT (29.052511340679104 41.07658925608007),1060
10,POINT (28.976892597801196 41.005252359190884),1059
11,POINT (29.026843376657695 41.04731851069577),947
12,POINT (28.96383158090586 41.01623739563797),934
13,POINT (28.982831008604393 41.01054726408155),920
14,POINT (28.977568646163 41.03361155188869),889
15,POINT (28.968115068734548 41.01100164263242),873
16,POINT (28.97791988386153 41.00840385040047),836
17,POINT (28.971141941630396 41.01613856714802),805
18,POINT (28.999518372114892 41.038783616804814),795
19,POINT (28.971141941630396 41.01613856714801),721
20,POINT (28.98350156086312 41.01224130091533),718
21,POINT (28.680091938983423 41.034292952458664),710
22,POINT (28.983501560863118 41.01224130091533),633
23,POINT (28.983203835660248 41.01134470142213),620
24,POINT (28.985548086356744 41.038051251524),618
25,POINT (28.73301005909599 41.27525878532225),605
26,POINT (28.973295755485424 41.019991419271285),592
27,POINT (28.73301005909599 41.27525878532226),562
28,POINT (28.97791988386153 41.008403850400484),543
29,POINT (28.99285576487226 41.06258105235327),532
30,POINT (29.307006815873137 40.8996602646487),523
31,POINT (28.98230931894712 41.01309943437481),508
32,POINT (28.983203835660248 41.011344701422125),451
33,POINT (28.982309318947117 41.01309943437481),450
34,POINT (28.96996176965507 41.01011008621507),448
35,POINT (29.00159842522143 41.03979009999415),440
36,POINT (28.96996176965507 41.010110086215064),428
37,POINT (28.94829220286229 41.03200386877605),394
38,POINT (28.980948097861912 41.00982875262812),361
39,POINT (28.976053066373268 41.00652046288956),356
40,POINT (28.948144681365363 41.0119984309257),344
41,POINT (29.070309915172388 41.03442875590984),336
42,POINT (28.95482069965318 41.016361858610615),334
43,POINT (28.968717224662868 41.01767933029165),333
44,POINT (28.97208339700164 41.01690929051958),331
45,POINT (28.97711522115108 41.03227094457688),326
46,POINT (28.94976205341341 41.01974857785379),316
47,POINT (29.05643440080013 41.08503760964837),315
48,POINT (29.00406069311543 41.02110746643935),311
49,POINT (28.979317314768707 41.023197853857845),308
50,POINT (29.00159842522143 41.03979009999416),304
51,POINT (29.30700681587314 40.8996602646487),288
52,POINT (28.98542470474112 41.03751916887515),287
53,POINT (28.73352154892939 41.27208560120898),279
54,POINT (28.680226867498646 41.03465636901529),275
55,POINT (29.03231240087982 41.110055116039774),272
56,POINT (28.98555881519286 41.04091997283556),271
57,POINT (28.945268012175475 41.01439875668674),256
58,POINT (28.939057357155207 41.031191506555686),255
59,POINT (28.972394533249695 41.00741510397008),249
60,POINT (28.97688008082568 41.01522717934111),246
61,POINT (29.05643440080013 41.085037609648374),242
62,POINT (29.04000095307828 41.04269414762698),231
63,POINT (28.979714281705867 41.00637169221077),228
64,POINT (29.040000953078277 41.04269414762698),224
65,POINT (29.01725716156705 41.06583495816228),222
66,POINT (28.985746569825324 41.01754373918451),219
67,POINT (28.981573052567047 41.01164829178159),217
68,POINT (28.94829220286229 41.032003868776044),216
69,POINT (29.02543175523661 40.990997672030936),213
70,POINT (28.999632365998863 41.039016272578),212
71,POINT (28.80005992054984 40.964216598650765),211
72,POINT (28.97035873659223 41.01037826279654),203
73,POINT (28.977398048267627 41.0076495396627),200
74,POINT (28.949782169981177 41.031808619493695),199
75,POINT (28.946226901905447 41.03130582463482),198
76,POINT (28.982812233141143 41.02591141367356),195
77,POINT (28.973968989953164 41.00745254908985),194
78,POINT (28.975650735018036 41.01461328407401),193
79,POINT (28.971841998188523 41.01576079134879),190
80,POINT (28.972190685363046 41.002742393250855),190
81,POINT (28.972394533249698 41.00741510397008),187
82,POINT (28.970436520654232 41.01882678415717),186
83,POINT (28.94952601901835 41.011257671927744),184
84,POINT (29.004060693115434 41.021107466439354),174
85,POINT (29.0291581230548 40.99046242416351),168
86,POINT (28.975379831905514 41.005908173248606),167
87,POINT (28.97791988386155 41.034099980034824),166
88,POINT (28.985548086356744 41.03805125152402),165
89,POINT (28.97252596149241 41.01979815804927),162
90,POINT (28.9769086910554 41.00798285066347),160
91,POINT (28.97743306292172 41.00429493991242),160
92,POINT (28.985073335357555 41.03697291985638),158
93,POINT (28.93908954366364 41.03109742161598),157
94,POINT (28.975112952106542 41.028011765752375),155
95,POINT (28.972807593441075 41.02741485169654),155
96,POINT (29.015309877807724 41.04346590884857),153
97,POINT (28.95096904747911 41.03007765364366),151
98,POINT (28.975181348436937 41.01757814292469),150
99,POINT (28.97233552465093 41.005861618762175),149
