,wkt_point,saved
0,POINT (16.372484728394113 48.20836344420116),2482
1,POINT (16.373169544139273 48.20849250280995),1561
2,POINT (16.365800174815945 48.20633317780044),1302
3,POINT (16.3123133503818 48.18495667049854),1206
4,POINT (16.36921060360379 48.20327368024676),993
5,POINT (16.37179893532246 48.198280488093204),432
6,POINT (16.36669066821554 48.20616872216489),430
7,POINT (16.37179893532246 48.1982804880932),428
8,POINT (16.393941912009897 48.20738425134612),418
9,POINT (16.393941912009893 48.207384251346134),383
10,POINT (16.38090369389134 48.191538996058156),377
11,POINT (16.399992975592568 48.2155758081096),377
12,POINT (16.38090369389134 48.19153899605814),350
13,POINT (16.369976374283254 48.20943628514843),340
14,POINT (16.357348534147057 48.211053901921886),330
15,POINT (16.38051075026775 48.19328323321099),329
16,POINT (16.365797492606916 48.20438559591071),318
17,POINT (16.37512085121216 48.18599387651991),316
18,POINT (16.361766132427505 48.19771463379156),313
19,POINT (16.36177954347268 48.203737577256454),312
20,POINT (16.374841901472536 48.209420198095174),312
21,POINT (16.377854022218685 48.18501031960061),310
22,POINT (16.36177954347268 48.20373757725644),303
23,POINT (16.357348534147054 48.211053901921886),296
24,POINT (16.36076298624846 48.20449195956863),292
25,POINT (16.3958811491421 48.21668030790771),289
26,POINT (16.368259760500937 48.20463675679836),285
27,POINT (16.380510750267746 48.19328323321098),251
28,POINT (16.368259760500933 48.20463675679836),249
29,POINT (16.364426883790088 48.19912881087476),245
30,POINT (16.365387114624586 48.2103675381726),238
31,POINT (16.358446898746834 48.20808942380258),234
32,POINT (16.367211016768294 48.20860511411646),230
33,POINT (16.36578274045722 48.20049557324712),219
34,POINT (16.358446898746838 48.208089423802576),216
35,POINT (16.35975313454682 48.205268675719395),211
36,POINT (16.35975313454682 48.2052686757194),208
37,POINT (16.366443904984322 48.20545905429042),196
38,POINT (16.38424572634881 48.2056306625368),188
39,POINT (16.372647854481983 48.20872308760051),182
40,POINT (16.36305359276423 48.21865869700966),182
41,POINT (16.37985047981031 48.196644886888215),180
42,POINT (16.36144963176139 48.21156330656946),172
43,POINT (16.35825243859182 48.21071965822436),172
44,POINT (16.359066489033893 48.20258899991259),170
45,POINT (16.365387114624582 48.2103675381726),165
46,POINT (16.374935778788757 48.20821007971398),164
47,POINT (16.37985047981031 48.19664488688821),163
48,POINT (16.361728581501012 48.20804920510229),161
49,POINT (16.36476215991945 48.20408437998355),159
50,POINT (16.30276289807827 48.18222406863151),155
51,POINT (16.376816007322205 48.18526246962811),154
52,POINT (16.361728581501012 48.20804920510228),150
53,POINT (16.367211016768294 48.20860511411645),150
54,POINT (16.36965987361714 48.2039395811923),150
55,POINT (16.359165730768183 48.2154149566368),148
56,POINT (16.373117241063085 48.20375187844625),147
57,POINT (16.359165730768183 48.215414956636806),146
58,POINT (16.3725030151941 48.20835307894458),145
59,POINT (16.374935778788753 48.20821007971397),145
60,POINT (16.37957465931457 48.204765465103335),143
61,POINT (16.36148181826981 48.210312128197785),143
62,POINT (16.36148181826981 48.21031212819779),136
63,POINT (16.36584577236954 48.20674073949083),136
64,POINT (16.37160447516743 48.20064663892343),132
65,POINT (16.365609737974466 48.20769885419932),131
66,POINT (16.37275916615694 48.20049289160387),129
67,POINT (16.37957465931457 48.20476546510334),126
68,POINT (16.36965450919908 48.20405935306125),126
69,POINT (16.36679795657693 48.205055057607055),117
70,POINT (16.366706761469743 48.207307387855295),116
71,POINT (16.35893371968667 48.20341460765674),113
72,POINT (16.56427291456069 48.12022572284321),112
73,POINT (16.36979130185985 48.20871325648723),112
74,POINT (16.36576932941206 48.19956503461277),112
75,POINT (16.393359872649313 48.21110752370237),111
76,POINT (16.361170682021765 48.19983856645528),111
77,POINT (16.36735049163812 48.20712684757429),109
78,POINT (16.370158013897964 48.208393296624614),109
79,POINT (16.36660483752641 48.20800451762047),107
80,POINT (16.366926702610613 48.20965256615136),104
81,POINT (16.359204622799183 48.202614921397384),104
82,POINT (16.369659873617138 48.20393958119231),102
83,POINT (16.364426883790088 48.19912881087475),100
84,POINT (16.36847433722373 48.20408169852818),100
85,POINT (16.37367514054235 48.21076076852943),96
86,POINT (16.380903693891355 48.196590058032925),96
87,POINT (16.373675140542346 48.21076076852944),96
88,POINT (16.359105381064907 48.21530950928596),95
89,POINT (16.371515962269285 48.20808316756238),94
90,POINT (16.394143077687488 48.20950957054925),93
91,POINT (16.394161853150734 48.20730917537965),93
92,POINT (16.377679678631424 48.20915029233713),92
93,POINT (16.360499235693368 48.213099235171285),91
94,POINT (16.383791091917388 48.18581147284409),90
95,POINT (16.36320916088826 48.20669962595863),89
96,POINT (16.36619445954409 48.207684554111545),89
97,POINT (16.36979130185985 48.208713256487236),89
98,POINT (16.41996023371786 48.20728712924161),83
99,POINT (16.37016412891569 48.205771881391584),81
