destination,origin,expected roaming need
Kosovo,Albania,0
Thailand,Russia,1
Ukraine,Russia,0
Türkiye,Russia,1
France,Russia,1
Morocco,France,1
Germany,Russia,1
United Arab Emirates,Russia,1
United States,Canada,1
United States,France,1
Iran,United States,0
Cuba,United States,0
Iraq,United States,0
United States,Russia,1
Netherlands,Russia,1
Aruba,United States,1
Poland,Belarus,1
Thailand,France,1
Curaçao,Netherlands,1
United Kingdom,Russia,1
United Kingdom,United States,1
Germany,United States,1
China,Russia,1
Albania,Kosovo,0
Spain,Germany,0
United States,Germany,1
Spain,France,0
France,Switzerland,0
Russia,Belarus,0
Belarus,Russia,0
Sri Lanka,Russia,1
Germany,Switzerland,0
United Kingdom,France,1
Indonesia,France,1
Thailand,Kazakhstan,1
Mexico,United States,1
Thailand,Germany,1
Georgia,Russia,1
Mexico,Canada,1
Türkiye,Kazakhstan,1
Georgia,Armenia,1
Austria,Germany,0
France,United States,1
Germany,France,0
United States,United Kingdom,1
Spain,United Kingdom,1
Italy,Russia,1
Switzerland,Germany,0
Lithuania,Belarus,1
Kosovo,Germany,1
Romania,Moldova,0
France,Germany,0
Mexico,France,1
Morocco,United Kingdom,1
Netherlands,United States,1
Switzerland,France,0
Mauritius,France,1
Poland,Ukraine,0
United Kingdom,Germany,1
Réunion,France,1
Indonesia,Russia,1
Italy,France,0
Spain,Switzerland,0
Canada,United States,1
Vietnam,France,1
Albania,Germany,1
Germany,Ukraine,1
Thailand,United Kingdom,1
Brazil,France,1
Italy,Switzerland,0
Indonesia,Germany,1
Canada,France,1
France,United Kingdom,1
Italy,Germany,0
Russia,Kazakhstan,0
United States,Switzerland,1
Japan,France,1
United Arab Emirates,Kazakhstan,1
Netherlands,Germany,0
Argentina,France,1
Germany,Belarus,1
India,Russia,1
New Zealand,Netherlands,1
United Kingdom,Switzerland,1
Morocco,Germany,1
Egypt,Russia,1
Italy,Armenia,1
Germany,Türkiye,1
Germany,Kazakhstan,1
France,Kazakhstan,1
Sweden,Russia,1
New Caledonia,France,1
Curaçao,United States,1
Armenia,Russia,1
France,Canada,1
Thailand,Switzerland,1
Türkiye,Germany,1
Spain,United States,1
Poland,Russia,1
United States,Netherlands,1
South Africa,Germany,1
Indonesia,Australia,1
Guadeloupe,France,1
Italy,United States,1
United Kingdom,Canada,1
Singapore,Russia,1
China,Kazakhstan,1
Spain,Russia,1
Germany,Albania,1
New Zealand,Australia,1
Argentina,Chile,0
Chile,France,1
Martinique,France,1
China,Mongolia,1
Costa Rica,United States,1
Cuba,Russia,1
Kazakhstan,Russia,0
Mexico,Germany,1
Netherlands,France,0
Portugal,France,0
United Arab Emirates,France,1
Vietnam,Russia,1
New Zealand,France,1
United Arab Emirates,Belarus,1
Italy,Türkiye,1
Colombia,United States,1
Italy,Albania,0
Morocco,Spain,1
Russia,Ukraine,0
Spain,Netherlands,0
Thailand,United States,1
United Kingdom,Australia,1
Singapore,Germany,1
Vietnam,Germany,1
United Arab Emirates,Armenia,1
Germany,United Kingdom,1
Australia,France,1
Japan,United States,1
Singapore,France,1
Argentina,Brazil,0
Argentina,United States,1
Costa Rica,France,1
Netherlands,United Kingdom,1
Chile,United States,1
France,Armenia,1
Colombia,France,1
Hong Kong,Russia,1
Belgium,France,0
France,Türkiye,1
Australia,United Kingdom,1
French Guiana,France,1
Portugal,Germany,0
South Africa,Netherlands,1
Costa Rica,Canada,1
Cambodia,France,1
United Arab Emirates,Germany,1
India,France,1
Poland,Germany,0
Austria,Switzerland,0
United States,Kazakhstan,1
Puerto Rico,United States,1
United States,Australia,1
Türkiye,United States,1
Türkiye,France,1
Thailand,Netherlands,1
France,Belarus,1
China,Germany,1
Laos,France,1
Singapore,United Kingdom,1
Azerbaijan,Russia,1
Italy,Belarus,1
Australia,Germany,1
Brazil,Germany,1
Italy,United Kingdom,1
Netherlands,Kazakhstan,1
Aruba,Canada,1
Costa Rica,Germany,1
Morocco,Netherlands,1
China,France,1
Portugal,United Kingdom,1
Vietnam,Kazakhstan,1
United Kingdom,Netherlands,1
Cuba,France,1
Germany,Armenia,1
Vietnam,United Kingdom,1
Georgia,Kazakhstan,1
Japan,Australia,1
Austria,Armenia,1
Singapore,Australia,1
India,United Kingdom,1
China,United States,1
Morocco,United States,1
Netherlands,Türkiye,1
United Arab Emirates,United States,1
Thailand,Australia,1
France,Italy,0
Russia,United States,1
Philippines,France,1
